url,images,description,title
http://stlouis.craigslist.org/ppd/3790800652.html,,"<section id=""postingbody"">
		Happy's has Washer &amp; Dryer sets starting at only $200<br><br>
We also have single piece Washers, Dryers Stoves, and Refrigerators all starting at just $100<br><br>
Everything we sell has an amazing 100% Six month warranty at no extra charge<br><br>
Open 7b days a week Mon-Sat  8-7   &amp;   Sunday  9-5<br><br>
Phone # 314-291-0006
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826707266.html,,"<section id=""postingbody"">
		Washers On Sale starting at $125  <br><br> Frosty's Appliance<br> 7024 Highway 61/67<br> Barnhart, MO 63012<br><br> 636-487-0522<br><br> All Come With a Warranty and Delivery is Available!<br><br> Located 1/4 Mile South of Highway M on 61/67<br> Open until 6 PM Weekdays<br><br><br> '<a href=""http://s1169.photobucket.com/user/markwhitley1983/media/washeranddryer3_zps9f626457.jpg.html"" target=""_blank"" rel=""nofollow""><img src=""http://i1169.photobucket.com/albums/r511/markwhitley1983/washeranddryer3_zps9f626457.jpg"" border=""0"" alt="" photo washeranddryer3_zps9f626457.jpg""></a>

	</section>","
  "
http://stlouis.craigslist.org/ppd/3826702466.html,,"<section id=""postingbody"">
		FROST FREE REFRIGERATOR EXCELLENT CONDITION VERY CLEAN AND COMES WITH A 6 month warranty. STOP BY AND SEE US WE ARE OPEN 7 days A WEEK. DISCOUNT APPLIANCE 12671 NEW HALLS FERRY RD. FLORISSANT MO. 63033 WE ACCEPT CASH CHECKS DEBIT AND CREDIT CAEDS  OR GIVE US A CLL 314-839-5100 http;//DISCOUNTAPPLIANCESTL.COM 
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826708656.html,,"<section id=""postingbody"">
		BOTTOM FREEZER REFRIGERATOR FROST FREE EXCELLENT CONDITION COMES WITH A FULL 6 month warranty! STOP BY AND SEE US WE ARE OPEN 7 days a week DISCOUNT APPLIANCE12671 NEW HALLS FERRY RD. FLORISSANT MO. 63033 or give us a call 314-839-5100 WE ACCEPT CASH CHECKS DEBIT AND CREDIT CARDS DELIVERY IS AVAILABLE.              <a href=""http://discountappliancestl.com"" rel=""nofollow"">http://discountappliancestl.com</a> 
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826712905.html,,"<section id=""postingbody"">
		WASHER SUPER CAPACITY  HEAVY DUTY  WORKS GREAT AND COMES WITH A FULL 6 MONTH WARRANTY   WE DELIVER AND INSTALL  STOP BY AND SEE US WE ARE OPEN 7 DAYS A WEEK    DISCOUNT APPLIANCE 12671 NEW HALLS FERRY RD.  FLORISSANT MO. 63303  OR GIVE US A CALL  314-839-5100  www.discountappliancestl.com  PROUDLY SERVING ST.LOUIS OVER 20 YEARS     
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826710498.html,,"<section id=""postingbody"">
		FROST FREE REFRIGERATOR EXCELLENT CONDITION VERY CLEAN AND COMES WITH A 6 month warranty. STOP BY AND SEE US WE ARE OPEN 7 days A WEEK. DISCOUNT APPLIANCE 12671 NEW HALLS FERRY RD. FLORISSANT MO. 63033 WE ACCEPT CASH CHECKS DEBIT AND CREDIT CAEDS  OR GIVE US A CLL 314-839-5100 http;//DISCOUNTAPPLIANCESTL.COM 
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826703789.html,,"<section id=""postingbody"">
		Side by Side Refrigerators On Sale starting at $200  <br><br> Frosty's Appliance<br> 7024 Highway 61/67<br> Barnhart, MO 63012<br><br> 636-487-0522<br><br> All Come With a Warranty and Delivery is Available!<br><br> Located 1/4 Mile South of Highway M on 61/67<br> Open until 6 PM Weekdays<br><br><br> '<a href=""http://s1169.photobucket.com/user/markwhitley1983/media/sxs_zps80a59136.jpg.html"" target=""_blank"" rel=""nofollow""><img src=""http://i1169.photobucket.com/albums/r511/markwhitley1983/sxs_zps80a59136.jpg"" border=""0"" alt="" photo sxs_zps80a59136.jpg""></a><a href=""http://s1169.photobucket.com/user/markwhitley1983/media/refrig_zps44106738.jpg.html"" target=""_blank"" rel=""nofollow""><img src=""http://i1169.photobucket.com/albums/r511/markwhitley1983/refrig_zps44106738.jpg"" border=""0"" alt="" photo refrig_zps44106738.jpg""></a>

	</section>","
  "
http://stlouis.craigslist.org/ppd/3826814385.html,,"<section id=""postingbody"">
		Electric Dryers On Sale starting at $125  <br><br> Frosty's Appliance<br> 7024 Highway 61/67<br> Barnhart, MO 63012<br><br> 636-487-0522<br><br> All Come With a Warranty and Delivery is Available!<br><br> Located 1/4 Mile South of Highway M on 61/67<br> Open until 6 PM Weekdays<br><br><br> '<a href=""http://s1169.photobucket.com/user/markwhitley1983/media/1_zpsf5f9f78a.jpg.html"" target=""_blank"" rel=""nofollow""><img src=""http://i1169.photobucket.com/albums/r511/markwhitley1983/1_zpsf5f9f78a.jpg"" border=""0"" alt="" photo 1_zpsf5f9f78a.jpg""></a>

	</section>","
  "
http://stlouis.craigslist.org/ppd/3826714846.html,,"<section id=""postingbody"">
		BOTTOM FREEZER REFRIGERATOR FROST FREE EXCELLENT CONDITION COMES WITH A FULL 6 month warranty! STOP BY AND SEE US WE ARE OPEN 7 days a week DISCOUNT APPLIANCE12671 NEW HALLS FERRY RD. FLORISSANT MO. 63033 or give us a call 314-839-5100 WE ACCEPT CASH CHECKS DEBIT AND CREDIT CARDS DELIVERY IS AVAILABLE.              <a href=""http://discountappliancestl.com"" rel=""nofollow"">http://discountappliancestl.com</a> 
	</section>","
  "
http://stlouis.craigslist.org/ppd/3826723888.html,,"<section id=""postingbody"">
		I went to Frosty's Appliance in Barnhart looking for a particular size refrigerator last week. <br>  They even got me a full 100 percent warranty and delivered the same day! <br>  Frosty's is doing a great job and I love my new refrigerator.

	</section>","
  "
